id,subject,claim,value,evidence_class,confidence,source_name,source_url,publication_date,accessed,conflict_note
S001,MaidThis,Unit count published by Franchise Business Review,38 units,FACT,High,Franchise Business Review,https://franchisebusinessreview.com/top-franchises/maidthis/,2026,2026-08-26,"Self-reported to FBR. Counts awarded units, not necessarily open-and-trading units."
S002,MaidThis,Entrepreneur franchise directory listing,42 units,FACT,High,Entrepreneur Franchise Directory,https://www.entrepreneur.com/franchises/directory/maidthis-cleaning/336063,2026,2026-08-26,"Higher than FBR's 38. Both are franchisor-supplied, captured at different dates."
S003,MaidThis,Franchise fee (Entrepreneur listing),"$42,500",FACT,High,Entrepreneur Franchise Directory,https://www.entrepreneur.com/franchises/directory/maidthis-cleaning/336063,2026,2026-08-26,"Older FDD summaries show $39,000. Fee appears to have risen."
S004,MaidThis,Royalty and ad royalty (Entrepreneur listing),"6% royalty, 2% ad royalty",FACT,High,Entrepreneur Franchise Directory,https://www.entrepreneur.com/franchises/directory/maidthis-cleaning/336063,2026,2026-08-26,Consistent across FDD summaries. Brand fund may rise to 3%.
S005,MaidThis,Initial investment range (Entrepreneur listing),"$68,300 - $79,900",FACT,High,Entrepreneur Franchise Directory,https://www.entrepreneur.com/franchises/directory/maidthis-cleaning/336063,2026,2026-08-26,"Older FDD summaries show $49,550 - $67,650. Investment has risen with the fee."
S006,MaidThis,Founded / began franchising,"Founded 2013, franchising 2020",FACT,Medium,Entrepreneur Franchise Directory,https://www.entrepreneur.com/franchises/directory/maidthis-cleaning/336063,2026,2026-08-26,FBR says franchising began 2021. Another source says the current franchisor entity began offering on 2023-05-19. Likely reflects an entity restructure.
S007,MaidThis,2024 FDD date and franchisor FY2023 result,"FDD dated 2024-04-29; FY2023 net loss over $109,000; member deficit over $98,000",FACT,High,Free FDD Library,https://www.freefddlibrary.com/franchises/maidthis,2024,2026-08-26,"Independently corroborates the client's own FDD reading of a $109,354 FY2023 loss."
S008,MaidThis,2024 FDD Item 20 franchised outlets,"1 franchised at start of 2022, 13 franchised at end of 2023",FACT,High,Free FDD Library,https://www.freefddlibrary.com/franchises/maidthis,2024,2026-08-26,"Item 20 reports fiscal-year-end counts, so a 2024 FDD describes Dec-2023, not today."
S009,MaidThis,2025 FDD summary unit counts,"15 total units: 13 franchised, 2 company-owned",FACT,Medium,FranchisePayback,https://www.franchisepayback.com/franchise/maidthis,2026,2026-08-26,"Third-party FDD summary, not the document itself. Same 13/2 split as the 2024 FDD, so this may be a stale copy of the earlier year."
S010,MaidThis,Item 19 average unit volume reported by third parties,"$139,090 yearly gross sales; owner-operator earnings $19,473 - $25,037",FACT,Low,VettedBiz,https://www.vettedbiz.com/franchises/maid-this,2026,2026-08-26,"Conflicts with FranchiseOverview's '$1.1M average revenue, 2 units sampled'. The $1.1M figure is almost certainly the corporate/affiliate operation, not a franchisee average."
S011,MaidThis,Item 19 average revenue reported by third parties,"$1.1M average revenue, sample of 2 units",FACT,Low,FranchiseOverview,https://franchiseoverview.com/company/maidthis,2026,2026-08-26,"Sample of 2 makes this an affiliate/company-operation figure, not a franchisee benchmark."
S012,MaidThis,Franchisor entity and formation,"MaidThis Franchising LLC, Nevada LLC formed 2019-12-02; HQ La Mirada, CA; began offering franchises 2023-05-19",FACT,Medium,Oakscale / franchise registry summary,https://www.oakscale.com/post/franchise-basics-where-to-find-free-franchise-disclosure-documents-fdds,,2026-08-26,The 2023 offering date conflicts with 2020/2021 franchising-start claims.
